Epoch 5: pi_loss 0.5600, v_loss 0.1701
Epoch 6: pi_loss 0.5522, v_loss 0.1686
Epoch 7: pi_loss 0.5462, v_loss 0.1660
Epoch 8: pi_loss 0.5391, v_loss 0.1637
Epoch 9: pi_loss 0.5350, v_loss 0.1632
Epoch 10: pi_loss 0.5307, v_loss 0.1621
Epoch 1: pi_loss 0.7063, v_loss 0.2222
Epoch 2: pi_loss 0.5922, v_loss 0.1845
Epoch 3: pi_loss 0.5573, v_loss 0.1730
Epoch 4: pi_loss 0.5423, v_loss 0.1687
Epoch 5: pi_loss 0.5338, v_loss 0.1663
Epoch 6: pi_loss 0.5280, v_loss 0.1638
Epoch 7: pi_loss 0.5234, v_loss 0.1623
Epoch 8: pi_loss 0.5187, v_loss 0.1613
Epoch 9: pi_loss 0.5148, v_loss 0.1593
Epoch 10: pi_loss 0.5113, v_loss 0.1587
Epoch 1: pi_loss 0.8343, v_loss 0.2721
Epoch 2: pi_loss 0.6679, v_loss 0.2034
Epoch 3: pi_loss 0.5970, v_loss 0.1863
Epoch 4: pi_loss 0.5690, v_loss 0.1797
Epoch 5: pi_loss 0.5551, v_loss 0.1747
Epoch 6: pi_loss 0.5459, v_loss 0.1716
Epoch 7: pi_loss 0.5381, v_loss 0.1698
Epoch 8: pi_loss 0.5325, v_loss 0.1683
Epoch 9: pi_loss 0.5277, v_loss 0.1664
Epoch 10: pi_loss 0.5227, v_loss 0.1650
Epoch 1: pi_loss 0.9387, v_loss 0.3130
Epoch 2: pi_loss 0.7393, v_loss 0.2212
Epoch 3: pi_loss 0.6405, v_loss 0.1968
Epoch 4: pi_loss 0.5976, v_loss 0.1872
Epoch 5: pi_loss 0.5771, v_loss 0.1816
Epoch 6: pi_loss 0.5627, v_loss 0.1782
Epoch 7: pi_loss 0.5532, v_loss 0.1760
Epoch 8: pi_loss 0.5460, v_loss 0.1732
Epoch 9: pi_loss 0.5397, v_loss 0.1717
Epoch 10: pi_loss 0.5334, v_loss 0.1702
Epoch 1: pi_loss 0.6754, v_loss 0.2143
Epoch 2: pi_loss 0.5777, v_loss 0.1862
Epoch 3: pi_loss 0.5488, v_loss 0.1777
Epoch 4: pi_loss 0.5366, v_loss 0.1730
Epoch 5: pi_loss 0.5297, v_loss 0.1707
Epoch 6: pi_loss 0.5227, v_loss 0.1687
Epoch 7: pi_loss 0.5191, v_loss 0.1677
Epoch 8: pi_loss 0.5151, v_loss 0.1663
Epoch 9: pi_loss 0.5115, v_loss 0.1655
Epoch 10: pi_loss 0.5072, v_loss 0.1642
Epoch 1: pi_loss 0.7869, v_loss 0.2536
Epoch 2: pi_loss 0.6406, v_loss 0.2014
Epoch 3: pi_loss 0.5820, v_loss 0.1872
Epoch 4: pi_loss 0.5589, v_loss 0.1804
Epoch 5: pi_loss 0.5458, v_loss 0.1758
Epoch 6: pi_loss 0.5373, v_loss 0.1738
Epoch 7: pi_loss 0.5303, v_loss 0.1718
Epoch 8: pi_loss 0.5257, v_loss 0.1698
Epoch 9: pi_loss 0.5198, v_loss 0.1689
Epoch 10: pi_loss 0.5161, v_loss 0.1678
Epoch 1: pi_loss 0.6424, v_loss 0.2086
Epoch 2: pi_loss 0.5566, v_loss 0.1828
Epoch 3: pi_loss 0.5312, v_loss 0.1751
Epoch 4: pi_loss 0.5213, v_loss 0.1719
Epoch 5: pi_loss 0.5146, v_loss 0.1692
Epoch 6: pi_loss 0.5101, v_loss 0.1678
Epoch 7: pi_loss 0.5056, v_loss 0.1665
Epoch 8: pi_loss 0.5018, v_loss 0.1652
Epoch 9: pi_loss 0.4992, v_loss 0.1643
Epoch 10: pi_loss 0.4961, v_loss 0.1633
Epoch 1: pi_loss 0.6171, v_loss 0.2058
Epoch 2: pi_loss 0.5364, v_loss 0.1822
Epoch 3: pi_loss 0.5125, v_loss 0.1748
Epoch 4: pi_loss 0.5024, v_loss 0.1708
Epoch 5: pi_loss 0.4969, v_loss 0.1688
Epoch 6: pi_loss 0.4933, v_loss 0.1670
Epoch 7: pi_loss 0.4896, v_loss 0.1663
Epoch 8: pi_loss 0.4869, v_loss 0.1647
Epoch 9: pi_loss 0.4838, v_loss 0.1637
Epoch 10: pi_loss 0.4825, v_loss 0.1633
Epoch 1: pi_loss 0.7058, v_loss 0.2482
Epoch 2: pi_loss 0.5740, v_loss 0.2006
Epoch 3: pi_loss 0.5238, v_loss 0.1869
Epoch 4: pi_loss 0.5031, v_loss 0.1810
Epoch 5: pi_loss 0.4933, v_loss 0.1773
Epoch 6: pi_loss 0.4871, v_loss 0.1754
Epoch 7: pi_loss 0.4821, v_loss 0.1734
Epoch 8: pi_loss 0.4776, v_loss 0.1717
